"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YNR071C",10.7975448393124,5.80890575938228,725.397633254972,1.73501633606976e-13,9.66057095923642e-10,NA
"YDR403W",8.45604956901193,2.34907862738053,519.49573701079,1.80262548810027e-12,5.01850935887116e-09,"DIT1"
"YBR117C",7.66912995534735,3.46523563091348,471.914902388189,3.27013218946861e-12,6.06936534365375e-09,"TKL2"
"YIR019C",7.73166545725766,9.52624282371525,401.953290403974,9.54098383894512e-12,7.17362667345444e-09,"FLO11"
"YKL164C",5.66039447260379,4.83003926560936,398.355711270403,1.01502469041019e-11,7.17362667345444e-09,"PIR1"
"YKR075C",6.44775015348236,4.07348594331756,394.411172041511,1.08766071831938e-11,7.17362667345444e-09,NA
"YPR127W",5.98108777480277,4.15825208006095,392.951400728656,1.11532063445385e-11,7.17362667345444e-09,NA
"YDR085C",6.86476505796252,3.84030129385601,390.672722092882,1.16381293115682e-11,7.17362667345444e-09,"AFR1"
"YNR072W",6.87135347397041,5.95486432558498,387.198094871137,1.23592957556844e-11,7.17362667345444e-09,"HXT17"
"YHR087W",7.56241428065413,4.66425471685424,384.700162846369,1.28836685945662e-11,7.17362667345444e-09,"RTC3"
"YEL070W",8.85180123137642,5.80481894383992,382.039124221648,1.44764399698419e-11,7.32771070473454e-09,"DSF1"
"YEL071W",-16.8366015468706,3.74015379411364,246.929114145103,2.13363533962558e-11,9.9000679758627e-09,"DLD3"
"YEL069C",6.82909083203025,5.41130696525538,351.282610785061,2.45127275907034e-11,1.04989897865413e-08,"HXT13"
"YMR105C",5.26949900701887,4.33038674845798,318.951583718416,4.58741517413394e-11,1.7430745944794e-08,"PGM2"
"YHL021C",5.55831065027675,3.95088759466359,317.875739098828,4.695782851507e-11,1.7430745944794e-08,"AIM17"
"YNR073C",9.34892918018144,6.93341386810995,315.195254413003,5.05529923327123e-11,1.75924413317839e-08,"MAN2"
"YPR167C",6.01054752626195,3.64087537376868,304.862911771047,6.25054328118652e-11,2.04723676409685e-08,"MET16"
"YGL055W",-7.3688161716827,6.91087200587894,300.663967224324,6.82816811062888e-11,2.05730610095136e-08,"OLE1"
"YJL158C",5.72438200942053,3.634230218799,299.648026892542,7.02026147953949e-11,2.05730610095136e-08,"CIS3"
"YKR069W",4.9808514355055,2.95650129511724,284.607088490225,9.91343976345197e-11,2.75990163014503e-08,"MET1"
"YJR152W",-5.78185164499097,6.03990994659455,277.106404778328,1.18222475421073e-10,3.02930276322604e-08,"DAL5"
"YLR092W",6.24139099776442,4.12102026232028,276.651338499755,1.1969227871942e-10,3.02930276322604e-08,"SUL2"
"YMR009W",5.43674842051301,3.65252967979189,268.735404301361,1.45597904972851e-10,3.52473536908189e-08,"ADI1"
"YML058W-A",8.3581821651794,0.780241221064158,238.621464350307,1.64500155441335e-10,3.81640360623897e-08,"HUG1"
"YHR094C",-5.90829393072823,5.10898705870082,257.524723107718,1.93821142677497e-10,4.31678448971321e-08,"HXT1"
