"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YNR071C",-7.68990634219958,5.80890575938228,648.047752938373,3.77210485809882e-13,1.61761885091087e-09,NA
"YHR094C",5.01542998944899,5.10898705870082,591.741036357747,6.7807477647839e-13,1.61761885091087e-09,"HXT1"
"YEL069C",-6.46949330995759,5.41130696525538,563.95432352231,9.712420701772e-13,1.61761885091087e-09,"HXT13"
"YNR072W",-5.99744424331822,5.95486432558498,547.166142038363,1.16208250783827e-12,1.61761885091087e-09,"HXT17"
"YGR087C",5.15215623129723,4.64241247359549,518.662948893983,1.68679518795702e-12,1.87841512130894e-09,"PDC6"
"YEL070W",-7.77548007752697,5.80481894383992,495.418767077703,2.47265440744631e-12,2.29462329011017e-09,"DSF1"
"YGL055W",4.67359266286586,6.91087200587894,403.118910985303,9.35780096190719e-12,7.08370777816344e-09,"OLE1"
"YIR019C",-5.42152382046045,9.52624282371525,396.518698270488,1.04677718016152e-11,7.08370777816344e-09,"FLO11"
"YNR073C",-8.1021670745982,6.93341386810995,392.464958139356,1.14499586931521e-11,7.08370777816344e-09,"MAN2"
"YJL052W",5.15908639265962,9.48741303530679,356.509117358187,2.15681682539831e-11,1.20091560838178e-08,"TDH1"
"YMR145C",-3.42810797979899,4.60592472008506,340.872841153221,2.92642602947973e-11,1.48130364837665e-08,"NDE1"
"YJL212C",5.40917843071445,3.69284912578783,337.54430416858,3.30121983359312e-11,1.53176600278721e-08,"OPT1"
"YOR273C",4.0388456643859,4.51300750080978,325.146362443355,4.03469456660057e-11,1.70946834214387e-08,"TPO4"
"YJL158C",-4.03714809063338,3.634230218799,322.249096871443,4.29823218211463e-11,1.70946834214387e-08,"CIS3"
"YJR152W",3.33281738910676,6.03990994659455,315.02315645148,4.98441661362947e-11,1.8218692870396e-08,"DAL5"
"YPL095C",3.99023368740537,4.44161922249065,311.71411568763,5.36779824583928e-11,1.8218692870396e-08,"EEB1"
"YPR167C",-4.11321038860165,3.64087537376868,307.973171146429,5.83704824870601e-11,1.8218692870396e-08,"MET16"
"YDR403W",-4.21951536137499,2.34907862738053,310.61867412857,5.889663643447e-11,1.8218692870396e-08,"DIT1"
"YKL164C",-3.1587422047884,4.83003926560936,295.863198826504,7.61254381042421e-11,2.18527962353258e-08,"PIR1"
"YJR095W",-4.39273047208487,2.42198998608339,297.94087117851,7.84942393510267e-11,2.18527962353258e-08,"SFC1"
"YGR060W",3.01462773232154,4.7236803306078,286.589492293458,9.43443066719195e-11,2.50147190261547e-08,"ERG25"
"YCR012W",4.2396888716738,8.057483884496,272.5621225213,1.3206580137343e-10,3.34246537294209e-08,"PGK1"
