"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YCR105W",13.0459318857909,4.92694943418396,760.66954455389,3.06739831124533e-12,9.24300807159113e-09,"ADH7"
"YEL071W",9.5025986264392,3.74015379411364,312.87810425338,3.3200460027267e-12,9.24300807159113e-09,"DLD3"
"YBR117C",-4.7413234666627,3.46523563091348,377.194508724582,1.50459224385479e-11,2.79252320459449e-08,"TKL2"
"YPR127W",-3.48892816200671,4.15825208006095,308.873237597682,5.70207040250737e-11,6.43270998245232e-08,NA
"YDR403W",-4.23653420763694,2.34907862738053,308.676689930938,6.1431339460191e-11,6.43270998245232e-08,"DIT1"
"YDR085C",-4.02934210500512,3.84030129385601,300.17504991317,6.93179955005638e-11,6.43270998245232e-08,"AFR1"
"YMR105C",-3.03030954541239,4.33038674845798,251.926759100137,2.23980296198845e-10,1.64344519407882e-07,"PGM2"
"YFL056C",4.00567328885427,5.13681695960241,246.897908099475,2.56336568065141e-10,1.64344519407882e-07,"AAD6"
"YGR043C",-3.34704112851735,4.22411854254285,245.59096784154,2.65643080939464e-10,1.64344519407882e-07,"NQM1"
"YMR009W",-3.33695400351352,3.65252967979189,234.35743984054,3.63443868300811e-10,1.92142776940436e-07,"ADI1"
"YKR075C",-3.17546848384408,4.07348594331756,232.800897550763,3.79592411340661e-10,1.92142776940436e-07,NA
"YGL157W",3.23873465477928,2.52935434902413,220.312089211244,5.59149452638057e-10,2.59445346024058e-07,"ARI1"
"YHR087W",-3.62816009122621,4.66425471685424,212.190558264625,7.02397250503889e-10,3.00842145446589e-07,"RTC3"
"YHL021C",-2.8484314453893,3.95088759466359,204.689800125921,8.91191705035147e-10,3.34304612659812e-07,"AIM17"
"YLR178C",-3.11712979520497,5.21080368345738,204.334960880407,9.00605098760268e-10,3.34304612659812e-07,"TFS1"
"YPL265W",3.70255492104388,3.96382672682101,201.29920724608,9.96986525111783e-10,3.46951310738901e-07,"DIP5"
"YKL164C",-2.50165226781539,4.83003926560936,197.714160809571,1.11963515667152e-09,3.66713444255706e-07,"PIR1"
"YNR071C",-3.10763849711286,5.80890575938228,185.470564446355,1.75098266552099e-09,5.41637304534493e-07,NA
"YJR152W",2.44903425588422,6.03990994659455,180.700844538067,2.02296965514585e-09,5.92836581044846e-07,"DAL5"
"YEL072W",8.62581995544738,1.3091750065223,244.81370032853,2.22906006480778e-09,6.20570322042487e-07,"RMD6"
"YCR098C",3.38888762212392,2.90713923014191,174.276654332606,2.58713833839417e-09,6.83164407768832e-07,"GIT1"
"YLR092W",-3.17836410575124,4.12102026232028,172.787469659751,2.71514201272495e-09,6.83164407768832e-07,"SUL2"
"YDL243C",3.00568205244025,5.69328088942296,171.149530794728,2.88693989760441e-09,6.83164407768832e-07,"AAD4"
"YNL331C",4.43773660222735,3.86700931085443,170.799752296563,2.94467417141738e-09,6.83164407768832e-07,"AAD14"
"YCR107W",5.42699198484965,3.37409818343272,166.331685611488,3.67015544228556e-09,8.17417020105841e-07,"AAD3"
"YBR067C",2.55765261971817,2.89950145930818,159.282782707585,4.62622959557533e-09,9.70065424898623e-07,"TIP1"
"YPL018W",-2.51567984177228,2.45969538091962,158.933447982279,4.703981047461e-09,9.70065424898623e-07,"CTF19"
"YGL055W",2.69522350881684,6.91087200587894,156.501751059962,5.16896477313157e-09,1.02788556631416e-06,"OLE1"
"YMR175W-A",-3.99027150446192,4.43818945955963,155.366898963088,5.42558973484363e-09,1.04171322908998e-06,NA
"YDR070C",-4.56974683096159,5.77211299146206,154.508889553598,5.61910689568287e-09,1.04290623983874e-06,"FMP16"
"YKR069W",-2.22428773481257,2.95650129511724,149.075684807886,7.09980770934464e-09,1.27521707502035e-06,"MET1"
"YEL011W",-2.69114559992854,5.40683605768033,143.774370099581,8.94673068980407e-09,1.55673114002591e-06,"GLC3"
"YJR155W",3.86988192921525,3.93995469342645,143.107576540603,9.2444575439603e-09,1.55979210923548e-06,"AAD10"
"YPL056C",-3.02319930493904,2.425198881006,140.576706631815,1.04373297880365e-08,1.70926624293492e-06,"LCL1"
"YNL173C",-2.55574954449926,3.01307669597811,137.140029405687,1.21499203771816e-08,1.9328787617185e-06,"MDG1"
"YKL032C",-2.54411603189582,3.10184240859217,135.858469559538,1.29006614640756e-08,1.99530230644369e-06,"IXR1"
"YDL204W",-2.52410415698621,5.24183878313611,134.344324942178,1.38382915104705e-08,2.08247586838649e-06,"RTN2"
"YML058W-A",-3.38954777150047,0.780241221064158,119.302747073047,1.84170637094998e-08,2.63344579457484e-06,"HUG1"
"YKL071W",4.03097469608894,4.13178594580892,128.489154967169,1.84454716214833e-08,2.63344579457484e-06,NA
"YHR097C",-2.4854875021982,2.95404416088451,126.279154381054,2.05951428100362e-08,2.80022145785153e-06,NA
"YGR248W",-3.00448960327123,3.28479390927261,126.268176542922,2.06194467981165e-08,2.80022145785153e-06,"SOL4"
"YGR060W",1.95034294476571,4.7236803306078,125.653084881346,2.12229678641179e-08,2.81355916827163e-06,"ERG25"
"YCR102C",4.00638276394659,2.19980761366386,126.003599450082,2.18497010619586e-08,2.82928222123222e-06,NA
"YLR270W",-1.95273821617199,4.40559322713493,124.274653339747,2.27617262921178e-08,2.88039299987527e-06,"DCS1"
"YLR258W",-1.89563349253683,4.77333382875108,123.673617155073,2.34729995438077e-08,2.90439247688714e-06,"GSY2"
"YBR169C",-2.20995996278222,5.36503546615096,121.636666333382,2.60816905851192e-08,3.10110681877459e-06,"SSE2"
"YLL060C",2.94762703533337,2.18007519874282,121.893545745871,2.6176727816524e-08,3.10110681877459e-06,"GTT2"
"YLL026W",-2.9263583546816,8.13799843025267,120.861750343885,2.71595041851219e-08,3.15050248547414e-06,"HSP104"
"YPR184W",-2.59422844837918,5.0208003636254,118.663246780574,3.05185557509281e-08,3.46790445757485e-06,"GDB1"
"YNL144C",-2.02376128820387,3.73116884640459,116.861591071282,3.36375193446641e-08,3.7458741542218e-06,NA
"YFL054C",4.87074445471918,0.425376890766708,87.0480740731407,3.74031069166675e-08,4.08353920219617e-06,"AQY3"
"YBR286W",-1.97684569111117,5.75816756172349,113.67992745133,4.00195913058162e-08,4.28517469982278e-06,"APE3"
"YIL045W",-2.91438704479782,3.98051696814918,113.22772103877,4.11033159378543e-08,4.31817477626364e-06,"PIG2"
"YJR094C",-3.34132741997992,0.891618768316861,111.931486414704,4.53932994520303e-08,4.55251218209281e-06,"IME1"
"YHL008C",-2.74059975759707,2.42789491836525,111.495260797577,4.5499363267904e-08,4.55251218209281e-06,NA
"YNL195C",-2.50843262247088,3.40573223437308,111.098998202295,4.63171280036865e-08,4.55251218209281e-06,NA
"YNL200C",-2.20975107830519,4.31526566921419,110.969718845303,4.66043811744415e-08,4.55251218209281e-06,"NNR1"
"YDR342C",-2.34279154181002,7.09561665219216,109.740555514075,4.99680097237857e-08,4.79692893348343e-06,"HXT7"
"YPR026W",-2.00754516551247,3.57908099309078,109.07290385296,5.19634389249069e-08,4.90393945650647e-06,"ATH1"
"YER054C",-2.3020680530816,3.68694978164147,107.587767164289,5.66308927133474e-08,5.25534684379864e-06,"GIP2"
"YKR058W",-2.97481509395013,3.20676686628026,106.8234080477,5.93014573191116e-08,5.36464970167233e-06,"GLG1"
"YDR343C",-2.3800550374032,6.9741308097868,106.662021866367,5.97356827413226e-08,5.36464970167233e-06,"HXT6"
"YJR047C",-2.97181595856998,0.975554196960582,106.285212570906,6.33894239742628e-08,5.60241766172532e-06,"ANB1"
