"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YEL069C",-6.10989578788492,5.41130696525538,512.789436142889,1.86416738680121e-12,8.21884590676167e-09,"HXT13"
"YHR094C",4.12256604816975,5.10898705870082,455.265292700594,4.09502331586985e-12,8.21884590676167e-09,"HXT1"
"YGR087C",4.55648600458684,4.64241247359549,450.446599256049,4.42825749286728e-12,8.21884590676167e-09,"PDC6"
"YNR072W",-5.12353501266602,5.95486432558498,424.141355405713,6.64360718125734e-12,8.3276669842282e-09,"HXT17"
"YKR097W",-5.25932240784011,4.27852841240306,417.58617283016,7.47814923152676e-12,8.3276669842282e-09,"PCK1"
"YCR105W",-7.23423866965148,4.92694943418396,628.52842311115,9.48521814207467e-12,8.80228243584529e-09,"ADH7"
"YEL070W",-6.69915892367752,5.80481894383992,386.301002460984,1.34283399178308e-11,1.06812852374974e-08,"DSF1"
"YNR073C",-6.85540496901495,6.93341386810995,303.802951740738,6.47904321537379e-11,4.50941407790016e-08,"MAN2"
"YPL095C",3.73938635080336,4.44161922249065,286.998335291718,9.36482122464577e-11,5.79370273098085e-08,"EEB1"
"YGR088W",4.80650862721712,5.13674781404668,279.924577560861,1.1070074641976e-10,6.16381756065222e-08,"CTT1"
"YNR071C",-4.58226784508672,5.80890575938228,262.897998305543,1.73617499337077e-10,8.66233814036338e-08,NA
"YDL243C",-3.84790698964978,5.69328088942296,258.86197948327,1.8668832199059e-10,8.66233814036338e-08,"AAD4"
"YJR095W",-4.05781975381261,2.42198998608339,253.303161978596,2.32146939130691e-10,9.94303197753606e-08,"SFC1"
"YNL036W",-3.23982406902289,4.81106501868566,243.784688386023,2.78941862319032e-10,1.10939163528026e-07,"NCE103"
"YMR145C",-2.82269344230426,4.60592472008506,239.211334477313,3.16531711900654e-10,1.17496571457523e-07,"NDE1"
"YOR273C",3.22624818664165,4.51300750080978,232.617866324878,3.8183083403159e-10,1.32068856697161e-07,"TPO4"
"YGR201C",3.65986114564685,3.03742667780925,229.738679263704,4.18542686327502e-10,1.32068856697161e-07,NA
"YDL039C",-4.98897645768032,2.31740917905294,231.252581918244,4.26946735012375e-10,1.32068856697161e-07,"PRM7"
"YOL128C",3.23865163720405,3.34981795321085,209.137455370523,7.76932097054541e-10,2.27681995599983e-07,"YGK3"
"YLR377C",-4.30449591974578,4.51192332662453,204.059674617351,9.10327126874359e-10,2.53435072121822e-07,"FBP1"
"YPR036W-A",-3.88886863995054,6.61195288151724,201.806352464236,9.7768961144312e-10,2.54495793567236e-07,"SPO24"
"YMR319C",3.34840431116695,3.04808994012472,200.040102580192,1.04385449651831e-09,2.54495793567236e-07,"FET4"
"YGL117W",-3.75641664709943,3.47365483206013,199.45134501931,1.06111829431362e-09,2.54495793567236e-07,NA
"YDR536W",-3.18753358076723,3.67110551774715,198.379291576155,1.09696462744498e-09,2.54495793567236e-07,"STL1"
"YFL056C",-3.43710734725528,5.13681695960241,196.891970458046,1.15140454113655e-09,2.56440819401933e-07,"AAD6"
"YBL048W",2.6417565221136,3.4260940489987,187.139897192674,1.61017429156951e-09,3.44825017517655e-07,"RRT1"
"YNL141W",3.30815244746177,3.40846611407067,183.006487383136,1.86736864736376e-09,3.85092912167459e-07,"AAH1"
"YLR004C",3.42943595729055,2.31307698533502,178.662166660232,2.2268912764539e-09,4.35284204781607e-07,"THI73"
"YBL049W",2.54177060952099,4.06014170947169,177.615353502305,2.26710523323754e-09,4.35284204781607e-07,"MOH1"
"YOR247W",-2.95660414771578,3.50169189528876,163.44747176348,3.91332998701668e-09,7.26314045590295e-07,"SRL1"
"YJR158W",-3.11309885613255,2.91100190730374,161.740209986696,4.19144457400127e-09,7.35687358977952e-07,"HXT16"
"YIR019C",-3.11138218366324,9.52624282371525,161.41096226204,4.22808826998823e-09,7.35687358977952e-07,"FLO11"
"YDL245C",-3.0393392248829,2.91664072035652,155.155370853805,5.48819008215239e-09,9.2600734477044e-07,"HXT15"
"YDR406W",2.54555715817646,4.99064622233571,154.265363833414,5.67500947103898e-09,9.29366256904266e-07,"PDR15"
"YIL177C",2.78927112379698,1.75968711854462,154.436066452612,5.87057715240709e-09,9.33924959560077e-07,NA
